,tweet_index,comp,positive,negative,neutral,text,created_at
33,-34,-0.6369,0.0,0.224,0.776,In America bullies pick on “nerds”. In China and South Korea those with poor grades are at a higher risk https://t.co/KyX3dup0Pw,Sun Oct 07 10:32:22 +0000 2018
34,-35,-0.631,0.0,0.274,0.726,"Companies are catering to millennial tastes, but sometimes get it wrong https://t.co/UgwnD8n6JR",Sun Oct 07 10:15:44 +0000 2018
35,-36,0.1531,0.086,0.0,0.914,"International aid is helping Latin American countries deal with Venezuelan refugees, but much more will be needed https://t.co/1dSlbpGoxt",Sun Oct 07 09:57:02 +0000 2018
36,-37,0.0,0.0,0.0,1.0,"100,000 pages of documents, combed over by the New York Times, suggest Donald Trump was involved in ""dubious"" tax s… https://t.co/zuhqppFAms",Sun Oct 07 09:40:48 +0000 2018
37,-38,0.8415,0.376,0.0,0.624,Dahl shows that difference need not mean loneliness and that pluck and intelligence are to be treasured https://t.co/Nljvt8JnkR,Sun Oct 07 09:24:24 +0000 2018
38,-39,-0.4213,0.084,0.202,0.714,"A marginal liberalisation of the Canadian dairy industry is welcome, but it is not worth higher costs and lower pro… https://t.co/a2U5bf3Onx",Sun Oct 07 09:09:18 +0000 2018
39,-40,0.2584,0.085,0.0,0.915,On October 1st Mr Trump said—as he has before—that he does not blame China for “ripping us [off] for so many years” https://t.co/tKNuogx1ng,Sun Oct 07 08:53:38 +0000 2018
40,-41,0.3818,0.148,0.0,0.852,New Orleans embraces writers while they are alive and reveres them when they are gone https://t.co/uL98DLFnqP,Sun Oct 07 08:38:24 +0000 2018
41,-42,0.1027,0.119,0.102,0.779,"Cleopatra’s Needle, a gift to Britain from Egypt, is one of a pair. The other sits in a lonely corner of Central Pa… https://t.co/FSo65bhldN",Sun Oct 07 08:23:04 +0000 2018
42,-43,0.0,0.366,0.366,0.268,Europe’s great potato crisis https://t.co/vweJoYfsYo,Sun Oct 07 08:07:53 +0000 2018
43,-44,-0.7717,0.0,0.34,0.66,"Tunisia’s government has allowed the currency to weaken, wreaking havoc on the state’s balance-sheet https://t.co/SEkQJIxpko",Sun Oct 07 07:50:48 +0000 2018
44,-45,0.0,0.0,0.0,1.0,A Chinese writer calls for private companies to fade away https://t.co/j17Ptp4ufb,Sun Oct 07 07:34:21 +0000 2018
45,-46,0.0,0.0,0.0,1.0,A year on from the referendum and Catalan separatists are lacking a strategy https://t.co/u4NgjOHfWG,Sun Oct 07 07:18:10 +0000 2018
46,-47,-0.1779,0.115,0.194,0.691,Greater protection and burdensome rules for carmakers under the USMCA mean that American consumers will pay more https://t.co/y4TqT1B5cj,Sun Oct 07 07:01:45 +0000 2018
47,-48,0.34,0.156,0.0,0.844,"To market to millennials, companies focus on transparency, experiences over ""stuff"" and flexibility https://t.co/5PkWdTp02y",Sun Oct 07 06:44:28 +0000 2018
48,-49,0.6808,0.337,0.0,0.663,Europe lacks the cash and the willingness to create a real substitute for America's security umbrella https://t.co/S9oMRiTfZu,Sun Oct 07 06:28:01 +0000 2018
49,-50,0.296,0.239,0.0,0.761,A new Arab military alliance has dim prospects https://t.co/zj9uDhF1dJ,Sun Oct 07 06:11:15 +0000 2018
50,-51,0.0516,0.102,0.093,0.805,"No security guarantees will be enough for Kim Jong Un to give up his nukes, hawks on North Korea say https://t.co/S81X8PMcl1",Sun Oct 07 05:55:04 +0000 2018
51,-52,0.34,0.124,0.0,0.876,"Tit-for-tat atrocities by security forces and separatists in Cameroon has led to 160,000 people being displaced and… https://t.co/yX3dDSp8Bf",Sun Oct 07 05:45:39 +0000 2018
52,-53,-0.4391,0.0,0.145,0.855,Most modern states feel very uncomfortable when delving into religious affairs. But the cohesion of society require… https://t.co/S5MFVusSQT,Sun Oct 07 05:29:22 +0000 2018
53,-54,-0.4215,0.0,0.177,0.823,European potato farmers are struggling to adapt to droughts caused by climate change https://t.co/NMdGidWQjs,Sun Oct 07 05:13:20 +0000 2018
54,-55,0.0258,0.058,0.0,0.942,Sheikh Hasina says the bill regulating online publishing is necessary to prevent the spread of radicalism and porno… https://t.co/1lkvPINOXM,Sun Oct 07 04:57:00 +0000 2018
55,-56,0.0,0.0,0.0,1.0,Indian universities are becoming marginally less sexist https://t.co/vfaxQtbI16,Sun Oct 07 04:55:44 +0000 2018
56,-57,0.0,0.0,0.0,1.0,Andrew Roberts paints the fullest ever picture of Churchill https://t.co/L561FGOm1s,Sun Oct 07 04:40:29 +0000 2018
57,-58,0.0,0.0,0.0,1.0,Italy heads for a budget stand-off with the European Commission https://t.co/H9kLnqyXmz,Sun Oct 07 04:25:11 +0000 2018
58,-59,0.0,0.0,0.0,1.0,Elon Musk’s grip on Tesla loosens https://t.co/8vcH057LOm,Sun Oct 07 04:08:20 +0000 2018
59,-60,-0.5267,0.0,0.159,0.841,"Democracy is under threat all around the world. There are four stages to dismantling a democracy, starting with a c… https://t.co/DBoXwiqAko",Sun Oct 07 04:00:58 +0000 2018
60,-61,0.0,0.0,0.0,1.0,"Chinese investments in Europe soared to nearly €36bn in 2016, almost double the previous year’s total… https://t.co/qlM9taIhBC",Sun Oct 07 03:48:48 +0000 2018
61,-62,0.0,0.0,0.0,1.0,What began on the playground and in the classroom has moved to social media https://t.co/g8pr34PRMg,Sun Oct 07 03:30:11 +0000 2018
62,-63,-0.4795,0.0,0.308,0.692,Why Italy’s budget plan is so worrying https://t.co/mhJO8ijAZI,Sun Oct 07 03:12:04 +0000 2018
63,-64,0.0,0.0,0.0,1.0,European efforts to screen Chinese investments are barely keeping up with the cash flowing in https://t.co/CrkoXUzM8b,Sun Oct 07 02:52:28 +0000 2018
64,-65,0.5106,0.171,0.0,0.829,Some Indian mutual funds and insurers may expect the government to rescue them from any mis-step https://t.co/5cFzGyV1bm,Sun Oct 07 02:33:07 +0000 2018
65,-66,-0.4767,0.0,0.205,0.795,Another set of fake papers takes aim at social science’s nether regions https://t.co/9YGNq1E8Bh,Sun Oct 07 02:14:56 +0000 2018
66,-67,-0.6705,0.108,0.289,0.602,"As the bombs fall across Europe, the protagonist veers from naïve and romantic to violent and despairing https://t.co/nQ2Fpw91Ad",Sun Oct 07 01:56:36 +0000 2018
67,-68,-0.6597,0.0,0.216,0.784,"Membership in a gang can offer an identity, food and clothes. But it can also mean killing https://t.co/Qbp4KGAdEO",Sun Oct 07 01:37:52 +0000 2018
68,-69,-0.7783,0.0,0.298,0.702,"Race, history, madness, identity, survival, death: these are the issues that have always concerned New Orleans's ch… https://t.co/RPH9U6UsIL",Sun Oct 07 01:19:41 +0000 2018
69,-70,0.0,0.0,0.0,1.0,China has designs on Europe. Here is how Europe should respond https://t.co/IysYfhJ3L6,Sun Oct 07 01:01:14 +0000 2018
